,review
50,"Ass rape 

Are you in an ass raping relationship with Splash15hotel? Fag"
51,"fuck you! 

fuck you! YOU ARE UNCIVIL TO CONTINUE TO WASTE"
52,The king of stupid unconstructive edits is you.  Go fuck yourself.
53,"Steve, you're a fucking idiot who should be bludgeoned to death with a piece of"
54,"Fuck off!! 

Go and buy some Andrex and wipe your rats ass/face ("
55,"Anthony Bradbury sucks penis, Anthony Bradbury eats shit, Anthony Bradbury sucks penis, Anthony Brad"
56,LISTEN YOU MOTHERFUCKING FAGGOT! STOP FUCKING WITH ME!!! I
57,HEEY FUCKFACE YOU ARE A REAL BITCH ASS PUSSY WHIPPED MUT
58,"shut the fuck up. if you were not a moron, you would not insist on keeping some"
59,"Bitch 

You are a little bitch. I fuckin spent 6 hours on big sam ("
60,suck it Mr Potto you ugly little twat. Maybe ill take a trip to london
61,Racist?  Are you crazy?  I thought that you were off of my ass already?
62,There you happy. I posted a link. Fuck you and Fuck Jimbo whatever.
63,I FUCKING HATE NIGGERS AND SPICS AND JEWS AND MINORITIES
64,I have a huge penis and I like to fuck icelantic girls in the ass.
65,"Sitush Bastard
Sitush is a bastard, Crook, Rogue, Vagabond, r"
66,"Are you fucking serious? Again, what Hume have you read? Go fuck yourself, ignoramus."
67,fuck u bitches.fuck u bitches.fuck u bitches.fuck u bitches.
68,What a motherfucking piece of crap those fuckheads for blocking us!
69,Fuuck you you buddisht shit!!! I get the last say! 'There is 5
70,NIGHTSTALLIONS FIANCE GOT FUCKED BY A NIGGER AND HAD HIS
71,"""
Everyone who doesn't think that what I did was a good idea is a fucking retard."
72,Phil Spector is a FUCKING MURDERER!!! You know it and so do I
73,Fuck you. I'll just make another account. You're a piece of shit sorry excuse for an
74,"""
ARE YOU FUCKING RETARDED?

Please do not delete content from articles on"
75,Fuck off you ass!Fuck off you ass!Fuck off you ass!Fuck off you ass!
76,racist??? man fuck u nigga I AM BLACK DO U EVEN KNOW WHAT THE DIFFERENCE
77,"Dunno who the fuck you are, but evidently you completely misunderstood the situation.  Don't post"
78,"your lazy ass keeping the admin back log low, RETARD. Your not making a difference, you"
79,"Oh shit, stop sending warning, please, fuck you, Jessie is cancelled and replaced by Rick and"
80,"Hi mutherfuckng wikipedia nolifer go die pl0x. 
With v"
81,you bitch why didn't you block kew gardens he also went past the 3 revert fucking rule god
82,"The only thing you sons of biches can do. FUCK YOU.FUCK YOU.
"
83,"Idiots
Anyone in favor of abstinence-only sex ed is a fucking idiot and deserves to have"
84,"""

fucking cops with no sense of humor. go fuck yourselves, go play """"qu"
85,"Hey sexist bitch, shut the fuck up

How dare you support calling women bitchy and mood"
86,"!!! FUCK YOU, SLAKR!!!

DIE WIKIPEDIA DIE W"
87,"""

""""Give 'em hell, Give 'em Hell, Aggies Fuck Sheep"""" has"
88,"Man are you fun to watch, jesus, you'll fuck up trying to put butter on"
89,"You fucking guinea wop, greaseball, guido, new york piece of shit."
90,your a dickhead your a dickhead your a dickhead your a dickhead your a dickhead
91,WHO THE FUCK DO YOU THINK YOU ARE DELETING THE SMS SECTION TO THE SYDNEY
92,"You fucking chink, i hope you die of cancer like your grandmother did. fucking jack off,"
93,"""

 And why is """"screw you, motherfucker"""" a personal attack? I'm"
94,"fuck you 

Funny how a wikipedia article i tried to create is now an actual"
95,Damn those are fucking recent pics & I really want them or else Wikipedia's gonna be so stupid that
96,go fuck yourself too you fucking piece of shit! block me! as if i gave a shit!
97,well what u said before really hurt me SO U SHOULD BE BLOCKED BITCH TITS UR
98,i completely agree with gilabrand u guys are all anti-israeli fucker why
99,"Demonte Morton 

U bastard stop deletin' my shit u white trash cracker m"
100,"hey marnette, fuck u u fucking queerbag who sucks on cocks!!! fuck u!!!"
101,What fucking problem are you having Njgw? Come and discuss it with me.
102,"""

Cocksucker, """"nonesens"""" is bullshit like artificial promotion of women to"
103,""" You forgot to add in your user page """"Being a fucking deaf moron"""" ==
YOU"
104,"ADMINS SUCK!! 

THE FUCKING ADMINS SUCK ASS! I"
105,"fuck you 

i hate you why do you delete pages do you have a life are you"
106,I am going to pull your pants down and insert a large phallus into your bunghole
107,"like wtf 

look man, youre a graduate student in mathematical fucking ecology and you"
108,"clown bastard 

why did you block me you fuckin philistine i suggest you stop oscill"
109,"you are still a cock sucking FAG! 

you are still a cock sucking FAG"
110,"White Trash
Fuck off you white piece of trash. Fucking wiggers. Go and fuck a"
111,"Ah shut the fuck up he started it, he put that on my page first. But did you"
112,"stop reverting my edit
your so fucken gay get a fucken life your fagot"
113,"You people are fucking morons 

Stop hand-wringing about whether Timothy Noah is"
114,"you stupid cunt. (Oh, and I fucked your mother last night. I hope you die."
115,Hetar is a fucking asshole. I hope he is blocked soon for vandalizing and reporting false
116,"""

 Cut the Shit 

Will you please cut the shit with your unnoteworthy UM"
117,"Hello you nazi piece of shit 

Please be aware i made 1 edit and 2 re"
118,"you fat asshole, why don't you leave my page alone. what, it's not enog"
119,Hey assholes. His first name is Olin. The freaking beheading video confirmed it. Stop
120,"Fuck You

I don't need you to unblock me you fucking idiot, you have some"
121,"Its not nonsense its fucking true, so Yezzer likes to put dildos up his Harris"
122,"She is a Motherfucker 

I will block you Motherfucker, Shit, bitch"
123,"Hamilton 

Is the asshole of Canada. Burn yourself with the city. Kthxbye"
124,. UR SUCH A FUCKING GEEK ASS MOFO! UR MOTHERS SUCKING
125,so if your are not an expert do not put your sick ideas on Wikipedia.  fucking jerk
126,"Happy New Year

This guy is a sorry ass motherfucker. By the way pussy,"
127,you son of a bitch...i can get more unblocks you dumbass. you fag do
128,"Cause of Death 

Fuck exicution, put down Murder was the mutha fuckin"
129,who the boofhead are you fuckwit telling me what to do. what a bitch - Bain
130,"WHY ARE YOU SUCH A GAY NIGGER?!?! 

GOD DAM"
131,"Jews 

Jews are fucking bastards. I hope neo nazis unite and holocaust"
132,Get fucked you terminally dumb fuckstain. I hope you fall under one of his lor
133,They aren't helpful.  This guy is a fucking serial rapist and the sooner all that shit gets
134,YOU ARE REALLY ANNOYING!!!! gO SCREW YOUR LESBIAN FRIENDS
135,You little bitch trying to get away with your crap. http://comm.colorado.edu/
136,"Fucking left-wing bastard 

You left-wing liberalist bastards are enemies of"
137,"""

fuck u communist bastards!!!! if u lik the sunflkower on this page"
138,"FUCK YOU NATLIE YOU DUMBASS CUNTBAG!
I HAVE"
139,"Let the fight go on 

Basically i don't give flying fuck what the majority of people"
140,"do go fuck off bastard
Do Yyou Have a life?
go fuck off bastard and y"
141,"""

Are you a pole smoker? Do you suck cock?  —Preceding unsigned"
142,"Go fuck yourself 

Go fuck yourself you irritating sack of shit. Stop reverting me."
143,"""

Why should I give a fuck! LEAVE ME ALONE, YOU RETARD"
144,"ha ha fucking gwernol at it again, trying to protect his friends because he doesnt give"
145,I dont care about your note fuck you. I will not stop to attack you or User:J
146,"Yeah fuck you 

seriously fuck you. All you do is protect racists and homophob"
147,"Suckle on my Dickle 

You can suck your great-grandfather's left test"
148,"Hey motherfucker... 

My acounts are called nicH whith an H"
149,"You can take your sandbox

And pull your cheeks apart and stick it up your asshole.
"
150,"Hey fucking pig 

Hey fucking pig-of-a-bully; I'll fuck"
151,HEY BITCH STOP TAKING DOWN OUR FUCKING EVENT PAGES BITCH NIGGER?!
152,"Cocksuckery

It should mention that this fag sucked mansons dick on stage"
153,"CSS Naked Day 

YOU ARE A FUCKING DUCHEBAG!! IM NOT TR"
154,"important 

You Suck! I think you should go suck on a car tail pipe,"
155,"i lost my civility when you started being outrageous fucking liars, fuck you liar, burn in"
156,"72.94.188.92 

Yo what the fuck is your problem fucking around with"
157,"""

You are too forward; you came onto me too hard. Therefore, Fuck You."
158,THIS DUDE THAT BLOCKED ME IS A FUCKING COCK SUCKER!!!!!!!!!! H
159,i'm going to keep on reverting you freaking goddamn hypocrites until you guys are blue in the
160,"I will ₵ut off your dick and balls and make you my bitch. 

"
161,sex fucksex fucksex fucksex fucksex fucksex fucksex fucksex fucksex fucksex fuck
162,"""

 FUCK YOU 
FUCK YOU!!!  YOU'RE A STUPID NIG"
163,"Dude, get a fucking life you queer.. get a real paying job instead of e-wiki"
164,"Your actions against Eddiebo
GO FUCK YOURSELF DUMB CUNT, now that"
165,"Ok, I will take this to the public. And on your pictures of the cunt FUCK YOU TO"
166,"HELLO AGAIN 

dont give a fcuk bull shit on wikipedia"
167,"Watch your mouth 

How dare you call me a troll? You ugly piece of shit."
168,"FUCK YOU
I was trying to clean that stuff off the main Big East page by creating a"
169,"npov
You yell at me about NPOV, but your the fucking sock puppet."
170,WHERE ARE YOU NE2 HIDING WITH YOUR MOMMY YOU FUCKING COWARD COM
171,"FDSAFDSAFDA 

what the fukk is this sh1t who"
172,"Read you mother fucker or you shall fucking die you cocksucking prick  

You"
173,'''FUCK YOU Ckatz you are german Cock sucker and FUCKER MOTHER FUCK
174,"Orane sucks lots of penis, with genital warts. And he likes getting molested by Michael"
175,If you'd ever had heroin-coated condoms during anal sex with infant koalas then you
176,"oh ouch, moreschi and ryanpostlethwaite (fucking wank"
177,"Bullshit 
What the fuck are you annoying my edits on Wikipedia? Such a bullshit you're"
178,=why are you being so rude? i only want to help you motherfuckers. fuck!
179,You are fucking stupppppppppid are you the one who invented wikipedia other know as
180,"Wikibofh fuck u u fuckin suck argument is fine u nerd now unblock me

"
181,"That is irrelevant, bitch. I'm done with that Buffy shit. Piss off.  "
182,"Fuck you bastard. You are a wikipedian. Translation: You have no life, are sc"
183,"Byzantıum 
What the fuck ıs your problem?  The real Byz"
184,"Fuck You Danish hater! 

Fuck you arsehole muslim lover. Muslims control"
185,"everybody fuck off 

why doesn't everybody just fuck off and leave this page alone?"
186,"Gross 

If some bitch ever came on me I would throw her gross ass out on"
187,"You stupid fat bastard. 

Why did you censor the move logs of Pikachu, you fat"
188,You can block and block and suck my cock but nothing can stop freedom of speech. In the end
189,you faggot ass bitch always crying and shit. Is Bahammut marine for gay ass hom
190,"""

 I'll stick it in you 

I'll stick my penis in your ass,"
191,"Fuck you!!! 

Go and buy some Andrex and wipe your rats ass/face ("
192,"hey, that reminds me... is the country of Kuwait still banned, you fucktards?? seriously"
193,"Why, hello, Mr.Fucking jackass cunt, remember me? I wasnt gone."
194,"Fine. Fuck all of you. You might when this battle, but you won't get past the"
195,"Just because you enjoy sucking an occasional nigger dick, doesnt mean the rest of society does!"
196,"Um.... yeah, I know it is.  Go fuck yourself, and stop being condescending while"
197,"How's about you shut the fuck up instead... 

If your going to use wiki to"
198,"You are such a fucking faggot, there's no need for references for something that can't"
199,"Are you kidding me? 

Are you fucking stupid or something? Why in the HELL should"
200,"MotherFucker i have static ip address connection 

now suck my black dick and enjoy."
201,"""

 Hey f**king swine 

Doing bad? Suffering a lot?"
202,Fuck FINLAY McWALTER hes a faggot and he needs to get a fucking
203,Fuck yourself you self-important web nazi. Deleting an article about a famous little girl with
204,"Wikipedia is a shit hole.. 

Fuck you Jimbo for creating this fucking shit wikipedia"
205,"""

Big Pro-Choice dyke

Hey bitch, if you're such a cunt"
206,"Your death
You shitty fucktard, I am going to cut your balls of and feed them"
207,P.S Im a fucking cunt rag and enjoy the taste of a nice warm pile of shit every
208,"Grow some pubic hair while you're at it!

Take your cock out of your"
209,"OPPS MY BAD BITCH 

FUCK WIKIPEDIA BITCH AND DAV"
210,Collectonian is a bitch. A low class prostitute with no customers.
211,"Wash your dirty penis before giving shit 

Wash your fucking dirty penis before giving sh"
212,Fuck off you right wing nazi scum. BTW your crazy religion is a myth.
213,"you a bitch 

I hope you die you﻿ worthless pathetic fucking cunt."
214,"stop it you crack whore 

Go die in a fire, you dick sucking fag."
215,"YOU SUCK 

I HATE YOU> YOU CAN FUCK MY ASS ALL NIGHT BITCH"
216,do you arrogant bastards have nothing better do than bitch about who edits what. what the fuck you
217,"JEW 

Get the fuck out of here you jewish son of a bitch, I"
218,"Go Fuck Yourself

Go fuck yourself.  Wikipedia is a scar on society.  May Jim"
219,"fucking piece of shit you fucking bastard
nobhead nobhead nobhead nobhead"
220,"fucking cock smoker, smoke a big bag of cocks, ya fucking cock smoker."
221,"""
ARE YOU FUCKING RETARDED?
  TAB

Please do not delete"
222,"Hello 

Hey, dude, why don't you fuck off, bitch? You know,"
223,"Wiki Admin Suck 

You fucking bitch shut the fuck up you ass hole all u wiki"
224,"Go fuck yourselves, obviously you all are a bunch of pricks who claim to be admins but don"
225,"fucking getting none, I hope you choke,
There's a bed made in Milltown just"
226,"From the rest of the world 
go fuck yourselfgo fuck yourselfgo fuck yourselfgo fuck yourself"
227,"you suck 
Even if you stupid admins/checkusers block us and find our IPs,"
228,"Personal Attack Number 2 

This is another personal attack about you being a massive donkey dick sucking"
229,"Cocksucker 

BILLCJ YOU ARE A COMPLETE FUCKFACE BECAUSE YOU"
230,"Those admins are fucking assholes, i just undid his removal of your text to his user page"
231,"Drop Dead and accept facebook pages 

Deeside College is a mother fucking spunk dunk"
232,"———————————
Hahahah get fucked filthy mudslime
https://www.youtube."
233,Go fuck yourself! Go fuck yourself! Go fuck yourself! Go fuck yourself! Go fuck yourself!
234,"Umm, maybe you should block AOL proxies permanetly you goddam mother fucking dick sucking bit"
235,"WTF! 

u fckin faggot ass mutha fcker u"
236,"""* LOL, haha, you fuckin loser Wobbs, yeah maybe I am Epf......"
237,Sitush talk is fucking asshole write. Why the hell he reverted my higlighted words. F
238,"Excuse me, whoever the Fuck you are 

SPUI says on his talk page that"
239,Fuck you bitch! I will go to your house and kill you with my gun as well! Prepare
240,"You can take your sandbox and shove it up your ass

You may also wish to visit Hell"
241,"November 2015 (UTC)
Fuck off. Your accusations are baseless, your writing style is atrocious"
242,"== YOU ARE THE GAYEST KID IN THE FUCKING WORLD.
 ==''']]"
243,"Jesus god you're fucking retarded 

what a pathetic piece of shit."
244,"Poision Ivy 

You got poison ivy on your penis mother fuycker, bi"
245,"Guess what 

You are so fucking retarded that down syndrome patients got nothing on you,"
246,"""gays]] ==
Fuck you VegetaSaiyan! You motherfucker! You and"
247,"Fuck you asshole! 

Go fuck yourself! Dirty fuckin' asshole! Fuckin' sc"
248,I am pretty much done fucking around with these two-faced administrators who don't listen to shit so
249,you seam like a fucking hot and kinky person and i would like to bang the shit out of
250,STOP CHANGON IT FUCKEN MORONS HE AM RUNNEN IN 2008 SO STOP WORK
251,fuck you atlan. fuck you and your fucking bullshit. go suck some dick BITCH! 
252,"""

Why don't you go fuck yourself, you dipshit?  You started with the"
253,"""

 Kill yourself 

I mean just look at you you fucking faggot. You"
254,"Hey, you fascist swine, you're gonna get raped in the ass. Nice job being Jim"
255,"John Baird page edits 
John Baird is a fucking cunt. So the edits are correct and should"
256,fuk you fucked up sinhalese motherfucking assholes wanna suck my cock bitch ass
257,Hanibal911You're a bastard Pro-Assad.Hanibal911You're a bastard Pro-
258,"Look at your own fucking speech before you criticise others you stupid idiot, you are a bully,"
259,"FU.CK OFF 
its my userpage you tard
hfydrhhtt"
260,"Personal attack? 

You fucking coward.
Anytime anyone tells the truth about Cheri"
261,"GO AHEAD AND BLOCK ME! 

 I HAVE 42 FUCKIN ACCOUNTS ON W"
262,Fuck you. Blow it out your ass. Suck my fattie and kiss my anal ring
263,"""

 Fuck you, cunt!!!!!!!!!!!!!!!!!!!!! 

try these important things and maybe you won"
264,user:jeppiz worships the balls of jesus son of the whore and suck the
265,"closedmouth is a DICK-FUCK 

this guy is a jackass who su"
266,"You totally suck! 

Hi,

Let me clearyfy something before my exit"
267,YOU ARE A MOTHJER FUCKER COCKSUCKER! YOU ARE A MOTH
268,"Fuck you Jasper you know he's a cunt and if you don't then you're one.
"
269,"who deleted the fucking spoiler warnings 

who the hell deleted them?"
270,. PS. FUCK U BITCH GO EAT A DICK HO. PROBABLY D
271,Mine ur own fucking bussiness.wat da fuck is ur problem u ugly fat ass motherfuck
272,"you fucking rude ass bitch 

I was only asking you a fucking motherfucker well fine"
273,"Last Warning 

Once again, don't give a fuck mr dumbass.

"
274,"BIGGEST JERK ON EARTH!=
  IS AN ASSHOLE! FUCK"
275,PS: Cannucks suck balls. I believe they are better known as CanSUCK...... my balls
276,"PEOPLE ON THIS SITE SUCK  

FUCKING BAN ME. GO"
277,"FUCK WIKIPEDIA ON WHEELS! 

You should be forced to"
278,", it is because I am a very stupid and clueless gay idiot who sucks my mom's penis."
279,"YOU ARE A PIECE OF F*CKING SH*T! 

f*"
280,"Can any of you dumbasses read the entirely first article, the fuck does it say, that can"
281,"Hey asshole 

I don't appreciate your fucking condescension. Yeah, that's right,"
282,"FUCK YOU, YOU ATHEIST CUNT! FUCK YOU, YOU ATHEIST C"
283,I never fucking make the fucking article in the first place what the fuck?
284,"You son of a bitch 
I was the one who recognized that it was a left facing swast"
285,FUCK YOU I NEVER STOP FUCKING YOU HARRY POTTER FANS!!!!!!! HARRY
286,"SummerPhd, MarnetteD and several other editors suck enormous amounts of cock.  They"
287,"Black Kite, fuck you embesil. What vandalisation other than the porno movies your"
288,"and you're a stereotyping autistic little cunt, fuck off Jew lover. (92.232."
289,"For fuck's sake 

When are they gonna send that piece of shit to the chair?"
290,"You are a cock, and if you block me you are blocking a very large ip address covering tens"
291,"Hey, you freaking hermaphrodite. 

When you are bored, do you"
292,"Fuck off 

Quit deleting my comments, read the fucking edit before you revert it you"
293,"Faggot/Cocksucker  

Take your biased ass elsewhere, as we have"
294,"Hey asshole, I'm Creamy3.  Why don't you go suck on your mommy"
295,"Hey

YOU,faggot callig yoursel jesus christ.Stop dreaming damned"
296,"Hey 

go fuck yourself. Why don't you go edit my talk page to show how"
297,"""

 nai caste ka veer 

fuck you all motherfuckers pakistani"
298,want ointment for your krabs where did you get them from from fucking your pet
299,"fuck  

you son of a bitch your sıde make us creasy fuck you"
300,SOME PEOLE ARE JUST FUKING COMPKETE ASSHOLE LIKE THE B
301,Dumb ass nigga.  No one cares when your birthday is.  Jag quimby
302,"DP 

Fuck you, who the hell do you think you are? I was making it"
303,"Block
What's wrong ass-fuckers?  You can't take a little heat? "
304,Why is the main picture of his ass you fucking cock loving geeky homosexuals
305,"FUCK FUCK FUCK 

FUCK FUCK FUCK  
FUCK FUCK FUCK  "
306,"You dumb mother fucking nigger lover 

STOP DELETING MY EDITS, YOU"
307,"Sesond attack for ToonLucas22
, you're a fucking shit, stop blocking"
308,"YOU SUCK 

Hello J. Delanoy,

U suck. I could"
309,"Who The F*ck Put You In Charge

I create an account on wikipedia, not"
310,Of course Uber here would just love to shove that green rotting foot up his pussy.
311,"This guy is a fucking loser

Hey nerd, get a fucking life and stop editing shit out"
312,This clown is a fucking faggot that doesn't know his dick from his pussy.  He
313,I AM GONNA CUT OFF ZHANZHAO'S FUCKING INDIAN
314,"Message    

Go fuck Loy Wong, you dirty, old, white,"
315,"Persib again Persib again. Please leave, that's is true.
Fuck you.
"
316,FUCKASS  ople like him... Thanks. I hate people like him... Thanks. I
317,"You block me? uahahaha go to hell you motherfucker, wikipedia is shit,"
318,Are you wikistalking me you fucking aspie? Either crawl back to your hugbox or hang
319,EDGERTON HIGH SCHOOL IS THE LOCATION OF THE LAIR OF THE FUCKING MONSTEROUS
320,"Now would you lick on my sack? 

You can't block me SLUT 71."
321,""":::fuck you animal! remember this shit yourself, who do you think you are coming here with"
322,"Mr. Amartyabaaaag... fuck off your WP:CIVIL 

First"
323,you studid cock sucker u stop callin me ok its a frank Garrett eatin the worms crawl
324,Yamla_likes_to_fuck_babies_up_the_ass_
325,HAHAHA! GNAA WILL SCREW YOUR ASSES ALL THE WAY TO HELL. VAND
326,"FUCK YOU, YOU FUCKING DIRTY KIKE. YOU SUPPORT THOSE WHO V"
327,"Tool Bolx=
Fuck you piece of shit. You think your in control, fucking fagg"
328,I reset my modem - new IP so you can fuck off - I think I may just piss you
329,"Why don't you fuck off
GET SOME JOBE TO DO, IDIOT!
"
330,"YAMLA,  are you stupid and a gay ass fag whos mother was a fucking"
331,she is a massive porn star whos vagina and arse split to create one big gaping whole.
332,"Eat shit and die 

You can block me now but that doesn't mean anything. You"
333,"Hello fuckhead,
Contributions my faggot asshole. You think that because im gay that"
334,Fuck you bitch I will find your IP adress n kill you with my gun bitch ass motherf
335,"Help! 

If you become an admin, I will fuckin find ya then fuckin kill ya"
336,"what do you mean 

why don't you keep your nose out of other people's fucking"
337,"hey asshole, keep your retarded politics off Wikipedia, OK idiot? I know you're special needs but"
338,"Bertie, You're A Stupid Ignorant Cunt!!

Do Humanity a favor"
339,"Oh poor baby RE: User:Arcayne
Good, I hope they ban your ass, you"
340,"You fucking idiot 

I edited that page for a reason, the page was terrible it looked"
341,"""

 YOU MOTHERFUCKER 

  YOU MOTHERFUCKER You're dead"
342,"Your ass 

Hey, Okay, you don't want to put my friend's penis in"
343,"Dude, why don't you just shut the fuck up and piss off. 61.90."
344,Why don't you crawl away and die you disgusting pig. Go fuck yourself you saddo
345,cheSTOP ADDING IN SHIT ONLY TO SUPPORT YOUR FUCKING POLITICAL VIEWS. YOUR
346,"Oh, shut up and fuck off, you asshole.  I'll be blocked, for sure,"
347,NIGHTSTALLIONS FIANCE GOT FUCKED BY A NIGGER AND HAD HIS
348,"Fuck you all. This site is full of stuck up cunts, who for some unknown reason think"
349,mostly burtalbert you fucking asshole go suck a dick u fucking king of assholes
350,"| decline=Niggers, jews, bad news! Also my cock is hard so it"
351,fuck you man i want to make a sexy time my name a borat i like you
352,ass bleed todeath slowly. so their sexuall pleasure was fufilled like no ther and
353,"Fuck You 

Hi Netmonger, Because of you I am not going to edit wik"
354,You're a fucking moron. Go read the notability guidelines. 62.106.48.
355,"""

ACTUALLY! It IS incredibly wrong. 
FUCKING ANIMALS"
356,whatever you say gay boy. atleast i have a life and im not fucking unchanging shit
357,"""

that's nice. go fuck yourselves, idiots. the fact that you can't absorb"
358,"Suck my dikkkkk ==
Suck my dikkkkk Gogo Gogo"
359,"why don't you suck my ass until your lips bleed? 

CONGRATS! "
360,HLQall of these things happen to be lies so go fuck yourself and die lol jk D
361,i only made the edit so i could read the fucking article not your stupid copyright notice wtf sort
362,"You're an asshole, useless piece of shit. Get a life, motherfucker!"
363,"FAT ass 

Why in hell did you block me. You need to go to hell"
364,Go fuckin' hang yourself! Fuckin' scum of the earth! Fuck you asshole!
365,Douchebag is a washed up has been who is mostly a crackhead bitch.
366,"You're an asshole.
You're an asshole.
You're an asshole.
You're"
367,"All I Have to say to you, is go fuck yourself. You're a cocksucker with"
368,"Dude you're gay, now seriously STFU and get the fuck off my warning page you little"
369,"Ekgograf and his son of bitch of gang of dumb, n*zi, and are"
370,RICK THE DICK CHECK OUT THE COMMONS PAGE YOU DUMB FUCK-I HAVE
371,Handing out blocks using Twinkle. What a fucking disgrace. — lfdder
372,"Ark Thompson 

Who the fuck deleted this?!I need fucking research for my stories you fucking"
373,"""Haha fuck you i can edit this page! no more """"midarme cant do this"
374,"""

 Stop your fucking spamming 

I have told you and your sock/meat pupp"
375,"What a faggot.  The man above says he's an adult, but is a fucking"
376,Fuck you fascist.  did you suck Bush's dick yet?  I bet you did your share
377,"FROZEN SUCKS 

THIS MOVIE IS FUCKING SHIT 
"
378,Mark asten is a pussy pussy pussy pussy pussy pussy pussy loser loser loser fucker fucker fuck
379,Merope:  You fucking moron.  You protected my talk page in violation of Wikipedia rules
380,"""

 Fuck you 

Re: """"mark williams radio host"""" and """"ground"
381,"fucking nigger 

Shut up your dirty nigga face. A im a mighty White"
382,"""
fuck you bastard. consider this your last warning. """"being a dick?"""" who do"
383,"We need to talk... 

Do you suck dick private? BULL SHIT! "
384,"Fuck wiki

Fuck this piece of shit called Wikipedia, it bullshit of misinformation and Zionist propaganda!"
385,"HOLY HELL MOTHER FUCKER SHIT KICKER PENIS LICKER
"
386,"What part of FUCK OFF don't you understand, youi mouth breathing pimply turd? "
387,"You obnoxious piece of shit 

Why are you homosexuals always such viscious little fascists?"
388,Why don't you go F yourself deliting nigger? Fuck you and your lies!
389,"You Assholes! 

I step out for a week or so and I'm blocked?"
390,"read well and fuck in your balls-

balls to you and your references and knowledge. First"
391,"=when=
When the fuck im i unblocked you dick holes yall bitchs suck"
392,your mother is sucking my cock right now you loser HAHAHAHAHAHAHAHAHAAHA sh wanted me
393,"""

 You bitch 

You son of a bitch!You are the reason Resident Evil is"
394,"Your opinion is worth less to me than the shit on my shoe. Now fuck off, there's"
395,btw mark arsten is a son of a bitch his cock is placed in a girls mouth 
