,review
29,"Medellin is a fabulous place to live, work, and study. I've been there twice, and never did I hear anything about guerrilla activities, paramilitaries taking tourists hostage, or anything of the sort. There are ""invisible police,"" but it is *not* a Big Brother system. There are just enough police so that they are visible in everyday life, but they do not hassle someone without good reasons.<br /><br />La Sierra is an interesting documentary in that the youths it depicts in the movie essentially become its characters. The directors of the movie carefully carve out plot lines among the daily actions of the inhabitants of La Sierra, and when a ""character"" dies, there is genuine pathos. It is difficult to imagine, however, that the three youths are all members of the Bloque Metro, a gang that used to terrorize La Sierra before the Colombian government began to restructure the country.<br /><br />La Sierra is not an accurate depiction of life in Colombia; there are, of course, things to be "
30,"Mitchell Leisen's fifth feature as director, and he shows his versatility by directing a musical, after his previous movies were heavy dramas. He also plays a cameo as the conductor.<br /><br />You can tell it is a pre code movie, and nothing like it was made in the US for quite a while afterwards (like 30+ years). Leisen shot the musical numbers so they were like what the audience would see - no widescreen shots or from above ala Busby Berkeley. What I do find funny or interesting is that you never actually see the audience.<br /><br />As others have mentioned the leads are fairly characterless, and Jack Oakie and Victor McLaghlan play their normal movie personas. Gertrude Michael however provides a bit of spark.<br /><br />The musical numbers are interesting and some good (the Rape of the Rhapsody in particular is amusing) but the drama unconvincing and faked - three murders is too many and have minimal emotional impact on the characters. This is where this movie could have been a lo"
31,"WAR, INC. (2008) **1/2 John Cusack, Marisa Tomei, Hilary Duff, Joan Cusack, Ben Kingsley, Dan Aykroyd, Sergej Trifunovic, Lyubomir Neikov, Ned Bellamy, (Voice of: Montel Williams)<br /><br />A hit-and-miss-21st Century ""STRANGELOVE""<br /><br />John Cusack  who co-wrote the script with Mark Leyner and Jeremy Pikser  stars as a jaded hit-man named Brand Hauser who is burnt out but decides to follow thru on one final assignment by icing a Middle-Eastern oil minister named Omar Sharif (yes, not THAT Omar Sharif but you get the tone here from this misfire for a laugh) commandeered by the ex-Vice President of The USA (Aykroyd, Cusack's old ""Grosse Pointe Blank"" co-hort, doing a mean Dick Cheney manqué turn here), enlisting Brand to do the deed under the guise of a Trade Show Producer in mythical Turaqistan (read: Iraq/Afghanistan) for the American private corporation Tamerlane (read: Halliburton). <br /><br />While being briefed Brand is faced with a moment of clarity when he comes across "
32,"Kirk and crew land on a lonely planet where the sun is about to explode. They intend to evacuate the inhabitants but find the place deserted except for a Mr. Atoz who operates some sort of high-tech library. Despite trying to get a straight answer from him about everyone's whereabouts, Atoz is indifferent to their questions and insist they must quickly 'make a selection while there is still time'. They have no idea what he's talking about but wander about looking at the hand mirror-like disks on the viewers and they see images of the planet's past. Then, while a disk is in the viewer, Kirk runs through the doorway and is magically transported back in time to what on Earth would look like the time of Louis XIV (the 1660s). When McCoy and Spock follow, a different disk is in the viewer and they are sent to an ice age hell. All too late they realize that the library is a time travel machine and repository.<br /><br />While Kirk's visit is pretty short and not all that exciting, Spock and "
33,"Investigative reporter Darren McGavin (as Carl Kolchak) is back; this time, he's after ""The Night Strangler"". Once again, police officials and fellow journalists either disbelieve, or want to cover-up, the supernatural angle. Producer-director Dan Curtis presents the same basic story as his preceding ""Night"", with understandably less success.<br /><br />Mr. Curtis assembles a fun supporting cast, included are ""Dark Shadows"" alumni George DiCenzo and Ivor Francis. Jo Ann Pflug (as Louise Harper) heads up a sexy collection of belly-dancers. And, although I've never seen it mentioned anywhere, that must be Roger Davis as Mr. McGavin's dining companion in an early scene, feigning disbelief in the existence of vampires! <br /><br />**** The Night Strangler (1/16/73) Dan Curtis ~ Darren McGavin, Jo Ann Pflug, Simon Oakland, Wally Cox"
34,"A true anomaly in the French cinema ,this despairing work has no equivalent in the contemporary production.One would rather have to look on the side of Louis Malle's ""le feu follet"" (1963)(the fire within) to find something not completely unlike Harel's effort.Wry and cynical,having lost all his illusions,the hero ,a computer scientist,has got no more reason to live.Absolutely none.Estranged from the human race,he seems to live his life as some kind of entomologist,studying his colleagues.One of them catches his attention:Tisserand-José Garcia plays the most demeaning part of the decade-.Then Tisserand will become some kind of prey:all his pessimism will rub off on this poor man.The scene is the night-club climaxes the strange relationship:the hero tells his victim that his life will always be unfulfilled unless he.... Well now the movie takes a more conventional turn so to speak (Clouzot's misanthropy maybe)but just for a while.<br /><br />The form is weird beyond comment There are tw"
35,"Perhaps because I was so young, innocent and BRAINWASHED when I saw it, this movie was the cause of many sleepless nights for me. I haven't seen it since I was in seventh grade at a Presbyterian school, so I am not sure what effect it would have on me now. However, I will say that it left an impression on me... and most of my friends. It did serve its purpose, at least until we were old enough and knowledgeable enough to analyze and create our own opinions. I was particularly terrified of what the newly-converted post-rapture Christians had to endure when not receiving the mark of the beast. I don't want to spoil the movie for those who haven't seen it so I will not mention details of the scenes, but I can still picture them in my head... and it's been 19 years."
36,"I'm not kidding about that summary and vote! The video distributors have packaged this as just another typical '80s werewolf movie, but it is in fact the greatest parody of the horror genre that you can imagine, having done for the horror movie what ""Blazing Saddles"" did for the western. I have seen plenty of comedies - good, bad, stupid, weird, etc. (usually walking away unimpressed), and I think that comedy must be the most difficult genre for filmmakers and actors to work in - it takes just the right kind of touch to make things successful, and part of that is having good ideas. ""Full Moon High"" is bulging with good ideas - so many, in fact, that it can easily put the Zucker/Abrams team of ""Airplane"" and ""Naked Gun"" to shame. One of the best of these is the very presence of Ed McMahon in a starring role as a John Birch-style right-wing crackpot. The jokes, non-sequiturs, wisecracks and word-play are literally non-stop and everything, including the kitchen sink, has been thrown in. T"
37,"First off, anyone who thinks this sequel to William Friedkin's ""The French Connection"", is superior is most definitely completely insane or moronic or both. The problem with reviewing this film is that, a.) it's a sequel to a brilliant movie, which always makes watching it objectively difficult, and b.) it's directed by John Frankenhimer, one of the best American directors ever, so I wanted to like it. William Friendkin was the perfect person to direct a film about drug traffic in decaying new York city, because of his documentary-like approach to the action and story, Frankenhimer on the other hand is one of the most stylish directors ever, i.e. ""The Manchurian Candidate"" and ""Seconds"", and with his ""French Connection 2"" it feels like someone trying to be gritty and not having the true understanding to pull it off. That fact that Frankenhimer was chosen to direct the sequel by Gene Hackman himself really tells a lot about Hackman's understanding about the original film too. It's well "
38,"Back in the forties, when movies touched on matters not yet admissible in ""polite"" society, they resorted to codes which supposedly floated over the heads of most of the audience while alerting those in the know to just what was up. Probably no film of the decade was so freighted with innuendo as the oddly obscure Desert Fury, set in a small gambling oasis called Chuckawalla somewhere in the California desert. Proprietress of the Purple Sage saloon and casino is the astonishing Mary Astor, in slacks and sporting a cigarette holder; into town drives her handful-of-a-daughter, Lizabeth Scott, looking, in Technicolor, like 20-million bucks. But listen to the dialogue between them, which suggests an older Lesbian and her young, restless companion (one can only wonder if A.I. Bezzerides' original script made this relationship explicit). Even more blatant are John Hodiak as a gangster and Wendell Corey as his insanely jealous torpedo. Add Burt Lancaster as the town sheriff, stir, and sit bac"
39,"This sci-fi adventure is not the best and by no means the worst. I agree with the statement that bad sci-fi is comical. Bizarre pink tinting and unusual special effects make this a favorite for the late, late, late show viewers. Space explorers on the planet Mars fight off strange giant amoeba-like monsters and other strange creatures. Pretty cool.<br /><br />The cast includes Les Tremayne, Naura Hayden, Gerald Mohr and Jack Kruschen. Get comfy and enjoy. Don't feel bad if you nod off for a moment. I agree with adding this to the list of cult classics to not miss."
40,"The men can slaver over Lollo, if they like (or her lollos--she gave her name to a slang terms for breasts in French), but the ladies have an even tastier morsel in the divine Gerard Philipe, who is not only beautiful but can act. Don't be deterred if your version has no subtitles because in this simple, dashing story of love and war, in which all is fair, they are not needed. All you need know is that, at the beginning of the film, Lollobrigida reads Philipe's palm and tells him he will marry the daughter of the king. Thereafter the story is quite plain from the Gallic gestures and the running, jumping, and swordplay.<br /><br />On the minus side, the obviousness of the story and the heavy-handed facetiousness of the tone become somewhat wearying, and it is annoying that the French apparently consider themselves too superior to Hollywood to bother even attempting the plausibility of its exciting stunts. And of course the non-French-speaker misses the occasional bit of ooh-la-la, such "
41,"Larry Fessenden has been thrashed by most of the comments on this forum. Well, the worst mistake, evidently, is the marketing of the movie and the way the DVD might have been targeted. Obviously, this is not a true horror movie, at least, not for people expecting anything that will be gory and instantly satisfying. <br /><br />""Wendigo"" is basically a film that seems to be told from the mind of the young Miles. Things that are not readily understood by children tend to stay in their young minds and ultimately dominate their fears and the menacing world they can't comprehend. It is obvious that Kim, the mother, is a psychologist, but she has no clue to what is going on in the mind of her son. This is also a story of alienation. It's clear that the father, George, is a distant figure, perhaps a workaholic, who seems to be living in a different world.<br /><br />Miles' fears reach a point of crisis during the week end in the country. That part of New York state, with its winter landscape,"
42,"This was one of the DVD's I recently bought in a set of six called ""Frenchfilm"" to brush up our French before our planned holiday in beautiful Provence this year. So far, as well as improving our French we have considerably enhanced our appreciation of French cinema.<br /><br />What a breath of fresh air to the stale, predictable, unimaginative, crash bang wallop drivel being churned out by Hollywood. What a good example for screenplay writers, actors, directors and cinematographers to follow. It was so stimulating also to see two identifiable characters in the lead roles without them having to be glossy magazine cover figures. <br /><br />The other thing I liked about this film was the slow character and plot build up which kept you guessing as to how it was all going to end. Is there any real good in this selfish thug who continually treats his seemingly naïve benefactor with the type of contempt that an ex-con would display? Will our sexually frustrated poor little half deaf heroine"
43,"All the folks who sit here and say that this movie's weak link is the Ramones would probably say that Amadeus was ok if not for that irritating harpsichordist. Rock and Roll High School was centered around the Ramones. How anyone can watch this and not get a kick out of Joey Ramone eating bean sprouts backstage in an attempt to keep him in performing condition is obviously a wet blanket square daddy-o. Ms Trogar, exploding white mice, the hall patrols...instant classics. Nevermind the Riff Randell character.<br /><br />If you don't like the Ramones then you don't know rock and roll and you don't deserve to watch a movie called ROCK AND ROLL High School."
44,"When I first saw this movie, it was titled TERROR ON A TRAIN and was the back half of a double feature. Glenn Ford, an armament expert is called on to defuse a hidden bomb on a train loaded with high explosives. The tension is slow and steady; and this black & white film runs only about an hour and twelve minutes. All these years later on TV; the tension and drama has lost most of its impact. This is still a good movie as far as early 50s standards go.<br /><br />Along with Ford are Anne Vernon and Maurice Denham. The villain/saboteur is played by Victor Maddern."
45,"I'm grateful for one thing and one thing only - that this woman will now be thousands of miles away on an entirely different continent!!! Yay!!! This programme summed up perfectly just how obsessed Victoria Beckham has become with whoring herself and her family out to the media in the name of self promotion and 'Brand f*cking Beckham'.<br /><br />A few years ago I used to really like 'Posh and Becks', I still very much admire David's talent, but I have no respect for him anymore. How can you respect someone who has his wife's hand shoved up his backside working him like a puppet.<br /><br />It was clear the hand of Victoria was all over Beckham's premature departure from Manchester United and now the same thing has happened at Real Madrid. I hope Beckham can live with the fact that although he may be earning squillions of pounds - he's sold his soul for the American Buck and will end his days playing for a team who would struggle to gain promotion from Division One in England (no offen"
