,review
20,"What can I say about this? Such a big Prestige-Production - but in the End? Wasted Time, wasted Money.<br /><br />This work a disaster is historically seen. Only some examples:<br /><br />* Augustus o"
21,"That's pretty much all I can say about this flat and uninspired remake of the 1979 Carol Kane vehicle. Camilla Belle isn't much of an actress, and she brings no energy and vitality to the role of Jill"
22,"Now, I loved ""Lethal Weapon"" and ""Kiss Kiss Bang Bang"", but I cannot believe Shane Black wrote this pile...or that David Morse and John C. McGinley are in it. I screened it for a film festival. Awful."
23,"A horrible mish mash of predictable story lines and toe-bendingly poor delivered PC clichés ad nauseam (races working together, the heroine being smart as well pretty, a guy sacrificing himself to sav"
24,"OK, please believe me when I say that this is a terrible, terrible, sci-fi movie. Its done so poorly that much of the film plays out as unintentional surrealism and its absolutely a 100% waste of time"
25,"This is awful, you just could't believe it. The score is annoying, the filming is bad, for example, sometimes you see the shadow of the cameraman appearing on some actors faces. The quality of the mov"
26,The only good thing about Persepolis is the shadows created in the German Expressionism-style of animation and a hint of history. This movie bored me. It was about a woman dissatisfied with her cultur
27,"To start out with, the script is immitative and inane. The characters are shallow and formulaic. The plot has arbitrary reversals and non sequitors. Baldwin's direction is terrible -- these actors cou"
28,This show is made for persons with IQ lower than 80. The jokes in the show are so lame. If you are on a deserted island and you do not have anything to do you will be better than to watch this garbage
29,"This has got to be one of the weakest plots in a movie I have ever seen.<br /><br />However, that is not all that this movie is lacking. This movie has the worst acting, writing, directing, special ef"
30,"Jumpin' Butterballs, this movie stinks! It's a dull and listless drag that never lets up. It's a wonder anyone even bothered to make Groucho up in his bizarre trademark eyebrows and mustache, as he ha"
31,I have no idea how accurate the portrayal of Flynn appears in this film but even as a work of fiction it is one of the worst films I have ever seen.<br /><br />The script is all over the place and lea
32,"This was really the worst movie I've ever seen. Anyone who has seen it will know what I'm talking about. I saw it on Starz, so thank goodness I didn't waste my money. Please everyone, don't waste your"
33,"This movie was so bad I don't know where to begin, apparently neither did the filmmakers. It starts off with a guy in his mid thirties to late forties watching TV. The news tells of a corn maze that's"
34,"this is horrible film. it is past dumb. first, the only thing the twins care about is how they look and what boys like them. they are in 7th grade. not to say i am a prude or anything but it sends the"
35,"This movie was so bad, I thought I was going to scream in the middle of it. It was all I could do to sit through it. The beginning of the movie where they are at war was promising. Only it smacked of "
36,"Jesus Christ, what the hell happened here?. This is one of the most boring movies I have ever seen, how is it possible that they screwed up such a nice idea for a movie. To tell you the truth I was so"
37,"This movie was an absolute waste of time. It's nothing but a wanna-be gangster movie. It contains a very predictable plot. My feelings are unsympathetic to the characters, and the dialogue is mediocre"
38,"This movie is a pure disaster, the story is stupid and the editing is the worst I have seen, it confuses you incredibly. The fish is badly made and some of its underwater shots are repeated a thousand"
39,"No movie I've ever seen before has even come close to being as boring and stupid as this hunk of junk. And I have always been a big B-movie fan. After viewing this total piece of crap, though I can ho"
40,Words fail me for this appalling waste of two hours of anyone's life. The story is contrived to the point of complete incredibility. <br /><br />The acting is leaden and so much of this is laughably d
41,"This was so bad, I want God to give me an extra two hours of life having had to sit through it.<br /><br />First off, the acting was uniformly bad. There was barely a plot, unless ""Shaggy dog story wi"
42,This very forced attempt to fuse Robert Altman and Quentin Tarantino (who is wildly overrated himself) is neither informative nor entertaining. The character development is arbitrary and unbelievable 
43,"This is a Very Very Boring and uninteresting action film, and without Chuck Norris it would have been unbearable!, plus the low budget shows big time!. Some of the fights were good, but the story is l"
44,"There are good movies, and there are bad movies, and then there's Moscow Zero, a film so utterly bad it makes spending a month in solitary with an insurance salesman an attractive entertainment altern"
45,Kill the scream queen may sound like a good slasher flick but it is terribly boring and very dumb.<br /><br />Kill the scream queen is about a crazy filmmaker who auditions girls to be in his snuff fi
46,"I watched the Halloween episode...oh my god I wanted to die. The acting was just awful. The lines were uttered with absolutely no conviction. Its a bad idea for a show as well, I mean who would watch "
47,"Take a cliché story and insert Steve Guttenberg.Need i say anymore?This truly is as bad as you would expect. Sheriff Tom Palmer(Guttenberg)and Anna Montgormery attempt to transform a group of useless,"
48,"Let's get right to the heart of the matter...This is a terrible movie. The story is confusing, the supporting cast is laughable and the lead Actors look like they were forced to be in it. The story as"
49,"Czech movie goers may have enjoyed and rated this film highly because it was Czech, but I found it to be trite, tedious, moronic, boring, and insipid. Again, I suspect ""ramping"" in order to increase s"
50,"This was by far the worst movie I've ever seen. And thats compared to Alexander, Fortress 2 and The new world.<br /><br />I should go back to blockbuster and ask for my money back along with compensat"
51,"This movie was a big disappointment. The plot sounded great, about a half-human, half-leopard creature in Africa that becomes the subject of a documentary by young American adults. When many of the cr"
52,"Woof! Pretty boring, and they might as well have shot it in black and white, it was so colorless.<br /><br />The movie starts with rolling text explaining cryogenics, and asking whether god or Satan i"
53,"I gave this a 2, and it only avoided a 1 because of the occasional unintentional laugh. The film is excruciatingly boring, and incredibly cheap. It's even worse if you know anything at all about the F"
54,This is by far the worst Hemingway adaptation ever. Rock Hudson was badly miscast and entirely unbelievable as a hard-bitten soldier/adventurer drawn to war. Jennifer Jones was far too old for her par
55,"Hideously bad movie purportedly about a croupier who wants to be a writer and the incidents that make up casino life. Moves at a snail's pace. Dull, dull, dull! Virtually everything about this movie i"
56,Talented screenwriter Alvin Sargent sadly cannot get any engaging ideas cooking in this artificial trifle about a wayward mother and her mature teenage daughter trying to make their lives work in Los 
57,"To sum it up in a nutshell, this film was disappointing and could have been shortened by twenty minutes.<br /><br />The acting was sub-par, the only decent actors of the bunch being Trisha, the killer"
58,"This was a sad waste of two such promising actors. Chris Klein's character was unlikable from the start and never made an improvement. What did she see in him?? He was rarely kind, never thankful for "
59,"Hitting the ground running, the film begins with THREE murders in a row. No plot, no characters, no motivation; the second murder happens off screen, and that victim's severed head is actually used to"
60,Everything about this movie is bad. everything. Ridiculous 80's haircuts. Ridiculous moustaches. Ridiculous action and fight scenes where you can actually see that the adversaries do not even hit each
61,"I did not like this movie. I rented it hoping it would be something like the 10th Kingdom. I was disappointed when I discovered it wasn't. I also found it just plain nervracking. The acting was bad, t"
62,The material is poor....the script's dreadful....the acting mediocre at best and the music telegraphs what the scene is supposed to be communicating like a kick in the head.<br /><br />Give this one a
63,"Without a doubt, the biggest waste of film of the year. This movie is poorly structured, sadistic, cruel and filled with unlikable characters. On top of that, and maybe the worst crime, it's uninteres"
64,"I occasionally let my kids watch this garbage so they will understand just how pathetic the show's ""contestants"" are. They are pathetic not because they are fat, but because they whore their dignity f"
65,"If it wasn't for Colin Firth, the movie would be ready for the dust bin! So foreseable, so silly and so badly acted!! Only Colin Firth, as always, shines through this mess as single light on the end o"
66,"Maybe our standards for Vientam movies have increased since Born on the Fourth Of July, Full Metal Jacket, and Platoon. This movie has a predictable plot, bad writing, bad acting, bad directing, bad s"
67,"This film simply has no redeeming features. The story is incomprehensible, and the script is gross, sadistic, and stupid. The sex scenes are a joke, as is the inevitable car chase. The music is awful."
68,"This television show, is a idiotic waste of time if you want to learn<br /><br />about animals watch the discovery channel. If you want to watch<br /><br />nincompoops on television just watch MTV. MT"
69,"This final installment of the ""Airport"" franchise was so incredibly awful that it took me awhile to realize it actually wasn't a slapstick comedy, like ""Airplane"". George Kennedy shooting a flare gun "
70,"This was the most god awful movie I have had to sit through. 30 minutes into the film and I couldn't take any more. Seriously, do not bother with this one unless you are a sentimental nut job or one o"
71,I saw this movie with my girlfriend. It was a total disaster. You can really see it was cheaply made. Badly scripted and with very bad acting. I have read several versions of the book by different aut
72,"The film had NO help at all, promotion-wise: if there was an advertising promo on TV or radio, I didn't see/hear it. The only newspaper ad I saw was on it's opening weekend: a dingy, sludgy B & W head"
73,"I only bought this DVD because it was dirt cheap and it seemed interesting in its own special way (""special"" meaning ""retarded""). The movie turned out to be quite uninteresting - boring camera work, n"
74,"As Anthony Bourdain said... ""I wanted to stick my head in a bucket of lye, pull my eyeballs out and jump off a cliff."" This summarizes my feelings about this pathetic waste of human effort. Artless, s"
75,Even Sophie Marceau's presence and the few (very few) good French gags are unable to save this otherwise slow and boring movie! A disappointment. The story is weak and so is acting. This movie was adv
76,"Absolutely one of the worst movies I've ever seen! ""The Beginning"" was not the greatest either but better than this one. This is not a good way to lead up to the original movie. It's just simply awful"
77,"The title doesn't make much sense to me. I'm not sure what door in the movie shouldn't have been opened.<br /><br />The movie starts uneventfully, with a conversation between a man and a woman in a ro"
78,this movie simply does not work. The action scenes were shot to look stylish but just come out looking sloppy. seagal barely fights and a lot of his scenes are shot from the back ( if you look in some
79,"Old bat transforms to younger OK looking girl after drinking a potion. This movie was dreadful. The acting atrocious. The camera work made me head spin. And it features the longest, most excruciatingl"
80,This movie was really bad. First they didn't even follow the facts for it. Half of the movie was made up and it was more about the deputy whose mother was one of Ed Gein's victims. The acting was horr
81,"One of the worst shows of all time. The show would begin with smart ass ed comments to each other that would be totally off the wall and uncalled for. The fat computer geek was unbelievable, the bible"
82,Eddie Fischer was simply bad. Possibly the worst scene came early in the movie when he broke into a spontaneous song and dance number centered around a piano and some conveniently placed employees. Th
83,"With the Terrible acting, the awful dialog, the multitude of bad humor, the crappy plot and over terrible film. This has to be the worst film i have ever viewed in my life, and i'm the king of finding"
84,"After watching this movie, I have nothing but contempt for any of those who were involved in the making of this abysmal film. For one, as a general comment, the storyline was literally unbelievable an"
85,"Danny Glover and Carey Elwes obviously forgot how to act when they made this movie, the acting is absolutely atrocious. The pay-off is even worse. I feel sorry for Danny Glover, I hope he got paid wel"
86,"This was honestly the worst movie i have ever seen. the acting was god awful, the story line also was bad. it was however a good idea. if this movie would have had better cinematics, and a lot better "
87,What can I say about THE PLEASURE PLANET that I haven`t said about umpteen other tedious soft core porn films ? Very little . It`s just another movie with a very weak plot used to set up very unconvin
88,"It is sad to have to say that a film is truly awful and one tries to find ways around saying this. However, this is a dreadful film. Gene Hackman wastes time (and one suspects, many dollars) on re-pla"
89,"How LIVING THE DREAM managed to get into the Laemmle 5 in West Hollywood is beyond me, as it is the worst film I have ever seen in my life. I should have known when the first scene opened in-gasp, Eug"
90,"I've been looking forward to watching ""Wirey Spindell"" since having happened across Schaffer's ""Fall"". Unfortunately, I found ""WS"" to be a wandering, unengaging, boring bunch of claptrap pieced togeth"
91,This movie was terrible. The plot was terrible and unbelievable. I cannot recommend this movie. Where did this movie come from? This movie was not funny and wasted the talent of some great actors and 
92,"quite possibly one of (if not the) worst film ever conceived, cast and acted in the history of cinema. Who on God's green earth would ever think to cast Cameron Diaz and James Mardsen as a couple? She"
93,"This TV show is possibly the most pathetic display of crap on TV today. Horribly predictable, obscene usage of slow motion photography, cheesy story lines. Chuck Norris is an abomination who should ne"
94,This movie is a terrible attempt at a spoof. Its attempts to parody various sports movies are half-baked and not at all funny.<br /><br />Even things that should be funny - like the female kicker from
95,"this movie was downright awful. most of the comedic scenes seem stale and trite, and possibly the funniest scene in the movie had already been given away in previews. the entire premise of the movie i"
96,"This really is the worst movie I have ever seen. For a while, I made a habit of watching lousy movies, including ""Battlefield Earth"", ""Delta Force Commando"" and ""Starship"". All of these movies are cin"
97,"This filmmaker wanted to make a movie without having a story to tell -- and did so. Really awful jumble of unlikely/unexplained coincidences and unidentifiable plot line, all without character or clea"
98,"Once in a while i like a good horror movie, so i thought this would be a splatter and gore movie. but it was a boring boring movie, maybe because i have seen a cut version, because there where only tw"
99,"My first question, is NOT about the horrible acting, NOT about the horrendous writing, it is the directing. The choices that were made about the cinematography are some of this worst decisions I have "
100,This movie is absolutely terrible... Definately a bull***t story and even worse acting. Too bad Charlie Sheen is involved in something like this since he is a decent actor and has done a couple of rea
101,"I would ward off any temptation to view this movie, it is quite simply dull. The characters are predictable and mindless. The assassin is quite unenigmatic. There is no tension, fun, no style or even "
102,"This movie sucks. The acting is worse than in the films we made when we were 10 years old with a camcorder, the effects look like some 80's computer game and the plot is worse than terrible. Even the "
103,"Boring, utterly predictable soap opera. Mary Tyler Moore is married to Ted Danson who's having an affair with Christine Lahti. Moore is friends with Lahti and doesn't know about the cheating. Danson d"
104,"I can confidently say that this is the worst film I have ever seen, and I usually love foreign films. The movie is nothing more than poorly-made violent pornography. If you choose to see it, prepare y"
105,"It's not often I feel strongly enough to post something about a film. This was, however, simply the worst movie I have ever seen. The performances were laughable at best, at worst they were, well, the"
106,"<br /><br />Very dull, laborious adaptation of Amis's amusing satire. The hero is portrayed not as a likeable loser but a merely oafish cretin. Most of the rest are pure caricatures with only Helen Mc"
107,"This is the worst kind of film.<br /><br />The plot is ludicrous, the characters are unrealistic stereotypes who never look like they believe it themselves. Are white people such monsters that they wi"
108,One of the worst films of it's genre.<br /><br />The only bright spots were Lee Merriwether showing some of the sparkle she would later bring to the Time Tunnel and Batman.<br /><br />A young Patty Du
109,"A film about an interesting and sensitive period of history, filmed in beautiful surroundings, managed to present an appallingly trivial and clichéd production, grossly clumsy script, poor continuity,"
110,This must be one of MGM's and FRANK SINATRAS worst films. An oddball musical comedy that fails in almost every aspect. Silly plot has SINATRA trying to carry on his fathers reputation as a KISSING BAN
111,"I watched this film because I thought it would be a classic Amy Adams movie. Wow, this movie is so bad on so many levels it staggers the imagination. It is poorly constructed for one, also the script "
112,"The comparisons between the 1995 version and this are inevitable. Sadly, this version falls far short.<br /><br />The casting is uninspired and the acting wooden. One gets the impression the director "
113,"From Kreestos: <br /><br />The dialog is terrible, awful, drivel. Acting poor. Many plot flaws. I don't recommend this at all.<br /><br />From Wikipedia:<br /><br />Artistic licenses The working manus"
114,"I only wish there was a grade lower than F to give it! i scored it a 1 in the vote tally.I am grading this not even as a regular film,but as a T&A film,and this is the worst,lamest,crappiest and most "
115,"This film is dreadful. It has absolutely zero laughs. Hebrew Hammer (Adam Goldberg) sets out to save Hannukah from Evil Santa (Andy Dick). Perhaps a promising enough basis for a plot, in actual fact t"
116,"Awful, waste of time. There is no camp or trash value in this one. Seen better amateur movies done by 10 to 12 years old kids in movie clubs.<br /><br />How on earth someone can spoil movie about vamp"
117,"I just finished watching one episode(S1-#5 A boy in a bush), so maybe my review is not very fair.<br /><br />But based on that episode, this is a very poor version of CSI, the acting is crap. The main"
118,Theres not much you can really say about this film except that it was crap and probably the worst film i have ever been to see!! Take my advice don't watch this film it just wastes your money and time
119,"Was unlucky enough to see this while travelling by coach across Africa. It was far and away the worst film I have ever come across. Deserves to be the #1 all-time worst ;-) No acting, no plot, very li"
120,"Firstly, I am a huge fan of crap films. B grade is always good for a laugh. Unfortunately this film is just plain bad. I dressed up as a Zombie for a party and my make up looked better than the ones i"
121,"A waste of time, talent and shelf space, this is a truly abysmal film. What are big leaguers like Keanu Reeves, Cameron Diaz and Dan Aykroyd wasting their time being in such rubbish?. Petty criminal R"
122,"This formulaic film (hero's girlfriend marries the villain) just didn't move along fast enough given some of the circumstances of the story. Scott seems too old in this one, and too many times his cha"
123,"This movie is by far the worst movie ever, The story line is weak and never shows what happens to the people after the 20 was left they hands. This really bugs me. It drags on and on with out any mean"
124,"I can't remember when I've seen a worse movie. The acting was overwrought, the dialog trite to the point of being painful to listen to, the special effects second-rate and the overall story laughable."
125,"Steven Seagal's films of late have not exactly been good, but this is by far the worst since The Patriot. The plot makes no sense what so ever; it is never clear in what the relationships between the "
126,"This movie is awful, I can't even be bothered to write a review on this garbage! All i will say it is one of the most boring films I've ever seen.<br /><br />And the acting is very bad. The boy who pl"
127,"This movie has to be the worst film of 2007, it was just really bad and i don't think i have ever seen a film that is just so bad, i mean the don't make really bad Hollywood films do they?? Hamish rea"
128,"It couldn't have come out at a worse time--just as the nation was entering the Reagan years, the boom-boom 80s, the time of no regrets, no concerns. It got no word of mouth, and opened poorly. The stu"
129,"This movie was a waste of the celluloid it was printed on. It is a disastrous scene, much like a particularly gruesome train wreck.<br /><br />Watching this is like trying to explain the meaning of li"
130,Have to disagree with people saying that this is a lousy horror film with good acting and camera-work - I'd say it's an okay horror flick RUINED by shockingly abysmal acting and poor camera-work - wat
131,"Not really worth a review, but I suppose it's my duty to warn you all - especially since there are some pretty good reviews of this Canadian bomb floating around out there... Bad acting and a slow mov"
132,"OK, so Herc is a hunk... but the rest of the 3 hours were wasted, wasted... oh the humanity!<br /><br />Poor Sean Astin had to follow his master up the very same hills of New Zealand that ... wait! Co"
133,"This is just dreadful. I regret every second of the 80 minutes I spent watching this dreck. I think it's supposed to be a comedy, but I don't remember laughing much, except at a few blatant inconsiste"
134,"Terrible psychological thriller that is almost painful to sit through, every aspect being awful.<br /><br />The combined talents of top actors Kevin Bacon and Gary Oldman are totally wasted, and thoug"
135,"The horrific production doesn't qualify as a ""film."" It was obviously shot on video tape, and very poorly at that! There is a constant screaching sound for the audio(sounds like a bad microphone), whi"
136,"This movie is pathetic in every way possible. Bad acting, horrible script (was there one?), terrible editing, lousy cinematography, cheap humor. Just plain horrible.<br /><br />I had seen 'The Wishmas"
137,"Sorry Randy. I love your comedy but in this case you really laid a 'Golden Turkey' egg.<br /><br />The plot was thinner than a single layer of my skin, the acting more wooden than a Giant Redwood and "
138,This movie is one of the worst remakes I have ever seen in my life! The acting is laughable and Corman has not improved his piranhas any since 1978. 90% of the special effects are lifted from Piranha 
139,"I always say, ""there's nothing like a good movie"". And I must say, this was nothing like a good movie! Drab, dull and tedious. It was like one of those bad dreams that never seem to end, no matter how"
140,"Ughh this movie is awful. The script is stupid and of course chase doesn't tell zoey he doesn't love her!!! Like every episode...ill never understand zoey 101 (the show) Also , why the heck does Logan"
141,A majority of exclusively made-for-video low-budget fright flicks from the 80's invariably stink worse than raunchy old socks. This particularly dismal and amateurish no-budget Chicago-set bargain bas
142,"Oh my God... where to begin? ""Chupacabra Terror"" is one of the worst B-Horror movies ever made. This crap makes ""Demon Slayer"" look like ""The Exorcist"". Special note: A Horror B-movie needs to have at"
143,This movie was really bad. I mean really really bad. The scenes were like from a parody and special effect sucked a lot. And it was filmed in 2003!!! i think this was a great waste of time and money a
144,"It sounded so promising in the Rental Store, the premise sounded great and I couldnt wait to get home and watch it. It was Apalling the Diologue is Dreadful, The Action is Extremely badly Scripted and"
145,I felt compelled to write about this movie after i joined IMDb because i thought it was the worst script writing i have seen in a while.<br /><br />The acting/direction/other-areas of the movie are fa
146,"This movie, despite its list of B, C, and D list celebs, is a complete waste of 90 minutes. The plot, with its few peaks, was very predictable. It was so silly that I cannot believe that I am taking t"
147,"This has got to be the worst show I have ever seen. I always liked Chuck Norris in Films, but why do we need to make these shows politically correct by adding a black side kick who is as threatening a"
148,"There is no reason to watch this film.<br /><br />Why? Many reasons. First up, the acting is awful. There is hardly a line that isn't misread - but that is hardly surprising given the banality, stupid"
149,"I have always liked Bill Murray in films like Lost in Translation, and the trailer for this film looked really good, but the result was very disappointing. Basically Murray plays Jack Corcorin who has"
150,I love Stephen Kings work and the book was great but I was very disappointed when I bought this movie on DVD. This was one of the worst B-movies I have ever seen. It feels like they had a tight schedu
151,"I hate to admit it, but they were right to sack Schrader. The opportunity is here to build an atmosphere, to draw an audience into a movie. It wasn't done. The characters are weak. The story was weak."
152,"i found this movie to be a complete waste of 96 minutes. jones was a weird kid and is severly messed up! According to my memory which might be wrong, wasnt he only 16 or 17 years old? **Spoiler** why "
153,"Writer-director Emilio Estevez shows a definite lack of talent here with this un-redeemable, supposed comedy. The script is completely hopeless, let alone the fact that it is unoriginal and badly work"
154,This movie was so awful that I can't even describe it. I was amazed that I even sat through this pile of trash. I couldn't believe that a movie like this was even thought of. It was a about a serial k
155,The movie was awful. The production company should be required to pay a fine for wasting electricity transmitting this nonsense.<br /><br />There were too many holes in the plot. Why would the DOJ sen
156,"This movie is a clumsy mishmash of various ghost-story and suspense-thriller conventions, none of them fully realized and all of them rather irritating. The script was perfunctory. The acting, ditto. "
157,"If you are a fan of slap-stick that has terrible writing, awful acting and cliche after cliche this one is for you.<br /><br /> There is far too much to list for the reasons why this movie sucks. In a"
158,"A man is pulled off a London Street and taken to some foreign country where he is tortured as a terror suspect. Dull, banal film bored the hell out of me. More an idea then a film. I was half way into"
159,"Jack Frost 2. THE worst ""horror film"" I have ever seen. Why? 1)The premise is WELL beyond ridiculous 2) The damn thing doesn't even have legs to move on! 3) It escapes AFTER being completely submerged"
160,"This movie was awful, plain and simple! The animation scenes had absolutely terrible graphics. It was VERY clear to see that this film had about the budget of my grocery bill!! The acting was just as "
161,"It was so BORING! No plot whatsoever! Basically a watered-down version of the Lion King mixed in with Animal Farm. Again, no plot at all. Horrible! Worst hour and a half of my life!Oh my gosh! I had t"
162,Unfortunately this is not one of those movies which at least make you laugh at their unbelievable stupidity. It has no entertainment value at all. It just plain sucks. I don't know where to start to e
163,"This movie was one of the worst I've ever seen, it did not left out a single clichee one could imagine about a Hollywood-so-called-Thriller. The protagonist is a loving father & a private investigator"
164,"I had neither read any of the books nor seen the first movie so after receiving passes to a preview show, I had no expectations.<br /><br />'Angels and Demons' was a muddled, convoluted film lacking d"
165,"Awful, Awful, Awful show. ""Real world"" issues dealt with blatant unoriginality. Stereotypes galore. What the hell is going on with the African-American (black!) guys eyebrows? Tyrone power! Awful, Awf"
166,"Saw the film at it's Lawrence, Kansas premiere. This wavering story about a group of disgruntled highschoolers killing off the competition for prom queen was just awful. It fails for many reasons - ba"
167,"Dumb, meaningless movie should appeal to Southern Rednecks, teenagers with IQ's bordering on retarded and the average Bush supporter. Noble Willingham plays the lead in this simpleminded script for wh"
168,"I'm trying to find something of value here. The best I can muster is that Truffaut wanted to make a movie as tedious, painful, puerile, annoying, illogical, and brainless as the experience of being in"
169,"It's difficult to find anything worth of praise with this movie. It's not the worst picture ever made, but that's not saying a whole lot. The plot is quite incoherent and unbelievable; it seems that t"
170,"Well Folks, this is another stereotypic portrayla of Gay life however, the additional downside includes poor acting, horrible script, no budget, terrible sound and let us not forget the impossible sto"
171,"I chose to watch this film because I am a Stephen Nichols fan. Unfortunately, I am unhappy with Mr. Nichols' choice to do this movie. The film was slow, badly acted, and included some very graphic sex"
172,"THE worst movie I've ever seen, and I've seen allot. Acting is horrible, plot is awful, idea is terrible, and no research was done what's so ever! Ok, I admit, `Air Bud' was a pretty good movie, but n"
173,"This series is formulaic and boring. The episodes are the same thing every week, simply with slightly varied settings. Some purely evil character does some dastardly deed, Walker goes after him, and i"
174,"""Crimes of Passion"" is a film that is disappointing on most counts. Where should I start from? The plot? It is despairingly simplistic and full of gaps. The direction? Reminds a cheap B-movie. The act"
175,"I can only say this: ee03128 from Portugal, I couldn't say it better. The worst movie I've ever seen... and I've seen lots of crap! When I read you comment I thought only about the thoughts I had whil"
176,"Pathetic NRI Crap.....Appeal to all who are not Indian's....This is the WORST of Indian cinema,made by the worst piece of NRI trash.....The story is boring and clichéd (the way NRIs and westerners vie"
177,"Meh, Sums it all up for me really. Boring story, bland dialogue, dull action scenes (HOW do you make something like a fight or a shootout boring? Do you actually have to TRY to do that?), no real char"
178,Don't pay any attention to the rave reviews of this film here. It is the worst Van Damme film and one of the worst of any sort I have ever seen. It would appeal to somebody with no depth whatever who 
179,Shameless waste of my time as a viewer. This is one of the worst films I've seen in ages. Please do not rent it as you will regret doing so! Guaranteed! I wonder how Kathleen Turner ended up in this! 
180,Dee Snider is the villain in this movie and his bad acting and overacting kind of ruined it for me. The whole movie just seemed to take itself too seriously. It tries to achieve the dark atmosphere of
181,"This is beyond a shadow of a doubt the absolute worst movie I have ever seen. It's been a long time since I've seen it, but the jokes are NOT funny, the plot is painfully forseeable, calling the main "
182,"I found Dominion to be a lousy attempt to continue the success of the story. The original movie was a story about evil, and how it can infiltrate our lives.<br /><br />Schrader's version is lacking in"
183,"Yes, the movie was that boring and insipid. after a certain point, I was wanting the croc to eat these people just so we could get the movie over with.<br /><br />The plot is that three Aussies take a"
184,"A wasted effort. On the surface it's a typical disaster movie: we're involved in the lives of a few people who get caught up in the Big Event. However, the script is so awful and there's so much expla"
185,"The Kite Runner began as one of those ""important"" films that most people fawn over because they are told that they should if they want to be among the elite and quickly descended into an idiotic film "
186,"The Wind. Easily one of the worst films ever made. The only good that comes from this kind of pointless drivel, is the fact that seeing films like this get distribution makes indy horror filmmakers li"
187,"Where do I start? First off, the story sucks. The acting sucks, the effects really suck, I guess I'll start with the story. The story for Komodo vs. Cobra: number one, it doesn't explain how or when t"
188,"** May contain spoilers ** Horrible. Just horrible. I loved Stephen King's novel, and this is just a horrible adaptation of it. They change the ending. They change the plot. They changed Alan Pangborn"
189,"This is the worst hindi film I have ever seen. It conforms to all the stereotypes of bad Hindi films. The plot is ridiculous, the acting over the top, and Shah Rukh manages to fit in a couple of song "
190,"To soccer fans every where -- stay away from this movie. It was so baaaaddd! Lame acting, lame script, lame soccer and no directing! I rented this movie during my stint in Asia and was appalled that t"
191,"Some films are just plain silly beyond explanation. This is one of them. Words cannot do justice to the wooden acting, the stupid plotline, and the ever-predictable outcome. About the only thing that "
